title,release_date
IT: Bem-Vindos à Derry,26 de out de 2025
Casa de Dinamite,24 de out de 2025
O Dono de Kingstown,14 de nov de 2021
Bom Menino,30 de out de 2025
Tron: Ares,09 de out de 2025
A Hora do Mal,07 de ago de 2025
A Longa Marcha: Caminhe ou Morra,18 de set de 2025
Chainsaw Man – O Filme: Arco da Reze,23 de out de 2025
Éden,24 de out de 2025
Tulsa King,13 de nov de 2022
Replica: Revenge of the Ex-Wife,07 de jul de 2025
O Elixir,23 de out de 2025
Quarteto Fantástico: Primeiros Passos,24 de jul de 2025
One-Punch Man,05 de out de 2015
O Telefone Preto 2,16 de out de 2025
Os Roses: Até Que a Morte Os Separe,28 de ago de 2025
A Vida dos Sonhos do Sr. Kim,25 de out de 2025
One Piece,20 de out de 1999
Triplo X,06 de set de 2002
Frankenstein,23 de out de 2025
